"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic","Required Field?","Custom Alignment","Question Number","Matrix Group Name","Matrix Ranking?","Field Annotation"
"goal_kind","goal","","radio","Goal type","1, NRS (0-10 question) | 2, GAS (descriptive levels)","","","","","","","y","","","","","SOURCE approved_goal.goal_kind"
"goal_patient_text","goal","","notes","Goal in patient's words","","","","","","","","","","","","","SOURCE approved_goal.patient_facing_text"
"goal_smart_text","goal","","notes","Clinical (SMART) description","","","","","","","","","","","","","SOURCE approved_goal.smart_text"
"goal_nrs_direction","goal","NRS configuration (if goal type = NRS)","radio","NRS direction","1, Higher is better | 2, Lower is better","","","","","","[goal_kind] = '1'","","","","","","SOURCE approved_goal.nrs_direction"
"goal_nrs_cut_lowlow","goal","","text","Cut: upper bound of -2 band","","","integer","0","10","","[goal_kind] = '1'","","","","","","SOURCE approved_goal.nrs_cut_low_low"
"goal_nrs_cut_low","goal","","text","Cut: upper bound of -1 band","","","integer","0","10","","[goal_kind] = '1'","","","","","","SOURCE approved_goal.nrs_cut_low"
"goal_nrs_cut_zero","goal","","text","Cut: upper bound of 0 band","","","integer","0","10","","[goal_kind] = '1'","","","","","","SOURCE approved_goal.nrs_cut_zero"
"goal_nrs_cut_high","goal","","text","Cut: upper bound of +1 band","","","integer","0","10","","[goal_kind] = '1'","","","","","","SOURCE approved_goal.nrs_cut_high"
"goal_anchor_m2","goal","GAS anchors (if goal type = GAS; any may be blank)","notes","Anchor -2 (much less than expected)","","","","","","","[goal_kind] = '2'","","","","","","SOURCE approved_goal.anchor_minus2"
"goal_anchor_m1","goal","","notes","Anchor -1 (less than expected)","","","","","","","[goal_kind] = '2'","","","","","","SOURCE approved_goal.anchor_minus1"
"goal_anchor_0","goal","","notes","Anchor 0 (expected)","","","","","","","[goal_kind] = '2'","","","","","","SOURCE approved_goal.anchor_zero"
"goal_anchor_p1","goal","","notes","Anchor +1 (more than expected)","","","","","","","[goal_kind] = '2'","","","","","","SOURCE approved_goal.anchor_plus1"
"goal_anchor_p2","goal","","notes","Anchor +2 (much more than expected)","","","","","","","[goal_kind] = '2'","","","","","","SOURCE approved_goal.anchor_plus2"
"goal_status","goal","Outcome","radio","Goal lifecycle status","1, Active | 2, Archived/retired | 3, Combined","","","","","","","","","","","","SOURCE approved_goal.status"
"goal_outcome","goal","","radio","Outcome on retirement","1, Achieved | 2, Partially achieved | 3, No longer suitable","Blank while the goal is active.","","","","","[goal_status] = '2'","","","","","","SOURCE approved_goal.goal_outcome"
"ci_week","checkin","Weekly check-in","text","Week number","","One instance per check-in.","integer","0","99","","","y","","","","","REPEATING INSTRUMENT. Link keys = ci_cycle_index + ci_week."
"ci_cycle_index","checkin","","text","Belongs to cycle number","","","integer","1","99","","","y","","","","","Link key = cycle_index."
"ci_date","checkin","","text","Check-in date","","","date_ymd","","","","","","","","","","SOURCE weekly_checkin.submitted_at (date part)"
"ci_submitter","checkin","","radio","Completed by","1, Patient | 2, Caregiver","","","","","","","","","","","","SOURCE weekly_checkin.submitter_label"
"ci_pain","checkin","Symptoms (optional)","text","Pain (0-10)","","","integer","0","10","","","","","","","","SOURCE weekly_checkin.pain"
"ci_stiffness","checkin","","text","Stiffness (0-10)","","","integer","0","10","","","","","","","","SOURCE weekly_checkin.stiffness"
"ci_spasm_freq","checkin","","radio","Spasm frequency","1, None | 2, Occasional | 3, Daily | 4, Several daily","","","","","","","","","","","","SOURCE weekly_checkin.spasm_frequency"
"ci_daily_care","checkin","","radio","Daily care / function","1, Harder | 2, Unchanged | 3, Easier | 4, Much easier | 5, Not relevant","","","","","","","","","","","","SOURCE weekly_checkin.daily_care"
"ci_side_effects","checkin","","checkbox","Side effects reported","1, Weakness | 2, Falls | 3, Swallowing | 4, Flu-like | 5, Other","","","","","","","","","","","","SOURCE weekly_checkin.side_effects (multi-select)"
"gr_goal_index","goal_rating","Goal rating (this week)","text","Goal number rated","","One instance per goal per check-in.","integer","1","99","","","y","","","","","REPEATING INSTRUMENT. Link keys = gr_cycle_index + gr_week + gr_goal_index."
"gr_week","goal_rating","","text","Week number","","","integer","0","99","","","y","","","","","Link key = ci_week."
"gr_cycle_index","goal_rating","","text","Cycle number","","","integer","1","99","","","y","","","","","Link key = cycle_index."
"gr_nrs_value","goal_rating","","text","NRS answer (0-10)","","Present for NRS goals; blank for GAS goals.","integer","0","10","","","","","","","","SOURCE weekly_goal_rating.nrs_value"
"gr_gas_value","goal_rating","","radio","GAS level","1, -2 (much less than expected) | 2, -1 (less than expected) | 3, 0 (expected) | 4, +1 (more than expected) | 5, +2 (much more than expected)","Recoded 1..5 = -2..+2 (avoids negative codes). Derived GAS for NRS goals; directly-picked level for GAS goals.","","","","","","","","","","","SOURCE weekly_goal_rating.rating_value, recoded: 1=-2,2=-1,3=0,4=+1,5=+2."
"gr_label","goal_rating","","radio","Rating label","1, Much worse than expected | 2, A little worse than expected | 3, As expected | 4, Better than expected | 5, Much better than expected | 6, Not sure","","","","","","","","","","","","SOURCE weekly_goal_rating.rating_label"
