"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic","Required Field?","Custom Alignment","Question Number","Matrix Group Name","Matrix Ranking?","Field Annotation"
"tx_notes","treatment","","notes","Session notes","","treatment_session.notes. REVIEW: free text may carry incidental identifiers — consider excluding from export.","","","","","","","","","","",""
"inj_muscle_1","treatment","Muscles injected (this session)","text","Muscle 1","","One muscle_injection row. The export flattens up to a fixed number of muscles per session (see design note). muscle_injection.muscle","","","","","","","","","","",""
"inj_side_1","treatment","","radio","Muscle 1 — side","1, Left | 2, Right | 3, Bilateral","muscle_injection.side","","","","","","","","","","",""
"inj_dose_1","treatment","","text","Muscle 1 — dose (units)","","muscle_injection.dose_units","number","0","100000","","","","","","","",""
"inj_guidance_1","treatment","","radio","Muscle 1 — guidance","1, EMG | 2, Ultrasound | 3, US+EMG | 4, Electrical stimulation | 5, Anatomical landmarks | 6, None | 7, Other","muscle_injection.guidance","","","","","","","","","","",""
"goal_index","goal","Goal","text","Goal number (within cycle)","","One approved_goal. This instrument repeats, one instance per goal per cycle.","integer","1","99","","","y","","","","",""
"goal_cycle_index","goal","","text","Belongs to cycle number","","Links the goal to its cycle (cycle_index above). Needed because REDCap repeating instruments are flat — see design note.","integer","1","99","","","y","","","","",""
"goal_kind","goal","","radio","Goal type","1, NRS (0-10 question) | 2, GAS (descriptive levels)","approved_goal.goal_kind","","","","","","y","","","","",""
"goal_patient_text","goal","","notes","Goal in patient's words","","approved_goal.patient_facing_text","","","","","","","","","","",""
"goal_smart_text","goal","","notes","Clinical (SMART) description","","approved_goal.smart_text","","","","","","","","","","",""
"goal_nrs_direction","goal","NRS configuration (if goal type = NRS)","radio","NRS direction","1, Higher is better | 2, Lower is better","approved_goal.nrs_direction","","","","","[goal_kind] = '1'","","","","","",""
"goal_nrs_cut_lowlow","goal","","text","Cut: upper bound of -2 band","","approved_goal.nrs_cut_low_low","integer","0","10","","[goal_kind] = '1'","","","","","",""
"goal_nrs_cut_low","goal","","text","Cut: upper bound of -1 band","","approved_goal.nrs_cut_low","integer","0","10","","[goal_kind] = '1'","","","","","",""
"goal_nrs_cut_zero","goal","","text","Cut: upper bound of 0 band","","approved_goal.nrs_cut_zero","integer","0","10","","[goal_kind] = '1'","","","","","",""
"goal_nrs_cut_high","goal","","text","Cut: upper bound of +1 band","","approved_goal.nrs_cut_high","integer","0","10","","[goal_kind] = '1'","","","","","",""
"goal_anchor_m2","goal","GAS anchors (if goal type = GAS; any may be blank)","notes","Anchor -2 (much less than expected)","","approved_goal.anchor_minus2","","","","","[goal_kind] = '2'","","","","","",""
"goal_anchor_m1","goal","","notes","Anchor -1 (less than expected)","","approved_goal.anchor_minus1","","","","","[goal_kind] = '2'","","","","","",""
"goal_anchor_0","goal","","notes","Anchor 0 (expected)","","approved_goal.anchor_zero","","","","","[goal_kind] = '2'","","","","","",""
"goal_anchor_p1","goal","","notes","Anchor +1 (more than expected)","","approved_goal.anchor_plus1","","","","","[goal_kind] = '2'","","","","","",""
"goal_anchor_p2","goal","","notes","Anchor +2 (much more than expected)","","approved_goal.anchor_plus2","","","","","[goal_kind] = '2'","","","","","",""
"goal_status","goal","Outcome","radio","Goal lifecycle status","1, Active | 2, Archived/retired | 3, Combined","approved_goal.status","","","","","","","","","","",""
"goal_outcome","goal","","radio","Outcome on retirement","1, Achieved | 2, Partially achieved | 3, No longer suitable","approved_goal.goal_outcome — blank while the goal is active.","","","","","[goal_status] = '2'","","","","","",""
"ci_week","checkin","Weekly check-in","text","Week number","","weekly_checkin.week_number. This instrument repeats, one instance per check-in.","integer","0","99","","","y","","","","",""
"ci_cycle_index","checkin","","text","Belongs to cycle number","","Links the check-in to its cycle.","integer","1","99","","","y","","","","",""
"ci_date","checkin","","text","Check-in date","","weekly_checkin.submitted_at (date part)","date_ymd","","","","","","","","","",""
"ci_submitter","checkin","","radio","Completed by","1, Patient | 2, Caregiver","weekly_checkin.submitter_label","","","","","","","","","","",""
"ci_pain","checkin","Symptoms (optional)","text","Pain (0-10)","","weekly_checkin.pain","integer","0","10","","","","","","","",""
"ci_stiffness","checkin","","text","Stiffness (0-10)","","weekly_checkin.stiffness","integer","0","10","","","","","","","",""
"ci_spasm_freq","checkin","","radio","Spasm frequency","1, None | 2, Occasional | 3, Daily | 4, Several daily","weekly_checkin.spasm_frequency","","","","","","","","","","",""
"ci_daily_care","checkin","","radio","Daily care / function","1, Harder | 2, Unchanged | 3, Easier | 4, Much easier | 5, Not relevant","weekly_checkin.daily_care","","","","","","","","","","",""
"ci_side_effects","checkin","","checkbox","Side effects reported","1, Weakness | 2, Falls | 3, Swallowing | 4, Flu-like | 5, Other","weekly_checkin.side_effects (multi-select)","","","","","","","","","","",""
"ci_comment","checkin","","notes","Free-text comment","","weekly_checkin comment. REVIEW: free text may carry incidental identifiers — consider excluding or screening before export.","","","","","","","","","","",""
"gr_goal_index","goal_rating","Goal rating (this week)","text","Goal number rated","","One weekly_goal_rating. Repeats, one instance per goal per check-in. Links to goal_index + week.","integer","1","99","","","y","","","","",""
"gr_week","goal_rating","","text","Week number","","The check-in week this rating belongs to.","integer","0","99","","","y","","","","",""
"gr_cycle_index","goal_rating","","text","Cycle number","","The cycle this rating belongs to.","integer","1","99","","","y","","","","",""
"gr_nrs_value","goal_rating","","text","NRS answer (0-10)","","weekly_goal_rating.nrs_value — present for NRS goals; blank for GAS goals.","integer","0","10","","","","","","","",""
"gr_gas_value","goal_rating","","radio","GAS level (-2..+2)","-2, -2 (much less than expected) | -1, -1 (less than expected) | 0, 0 (expected) | 1, +1 (more than expected) | 2, +2 (much more than expected)","weekly_goal_rating.rating_value — the derived GAS for NRS goals, or the directly-picked level for GAS goals.","","","","","","","","","","",""
"gr_label","goal_rating","","radio","Rating label","1, Much worse than expected | 2, A little worse than expected | 3, As expected | 4, Better than expected | 5, Much better than expected | 6, Not sure","weekly_goal_rating.rating_label","","","","","","","","","","",""
